name,collection_id
Deep Blue Sea Collection,518165
Delinquent Boss series,474019
Delinquent Girl Boss,119235
Demetrius Collection,366444
Demonic Toys Collection,264434
Demons Collection,430201
Den som dræber,630869
Dennis the Menace Collection,195441
Dennstein & Schwarz Filmreihe,679244
Department Q Collection,319850
Der Bockerer Collection,98077
Der Bulle und das Landei Filmreihe,337757
Der Doc und die Hexe Filmreihe,731553
Der Hafenpastor Filmreihe,681729
Der Job seines Lebens,479396
Der kleine Rabe Socke Filmreihe,385840
Der kleine Ritter Trenk,633788
Der sechste Stock -Reihe,506314
Descendants Collection,466463
Desperado Collection,441914
Desperado TV Movie Collection,387754
Despicable Me Collection,86066
Detective Chinatown Collection,525451
Detective Conan Collection,39199
Detective Conan Drama Special Collection,707622
Detective Dee Collection,222639
Detective in the Bar,536335
Detonation Series,525525
Detonator Collection,322650
Devasuram Collection,415699
Devi Collection,584852
Devilman OVA Collection,182384
Dexter Riley Collection,297143
Dhamaal Collection,142021
Dhoom Collection,44976
Diary of a Wimpy Kid Collection,86110
Dick Barton Collection,123741
Dick Tracy Collection,224011
Die 3 Groschen-Oper (G.W. Pabst),711287
Die blonde Frau des Maharadscha Filmreihe,465599
Die Drei von der Müllabfuhr Filmreihe,592431
Die göttliche Sophie Filmreihe,525096
Die großen und die kleinen Wünsche Filmreihe,592308
Die Hard Collection,1570
Die Hebamme,455712
Die Informantin - Filmreihe,685552
Die Jagd nach ... Filmreihe,74261
Die Kirche bleibt im Dorf Collection,380160
Die Lümmel von der ersten Bank,11341
Die lustige Welt der Tiere Filmreihe,692966
Die Musterknaben Collection,86714
Die Mütter-Mafia Filmreihe,387234
Die Nibelungen Collection,158038
Die Pfefferkörner,334887
Die Schnitzel-Reihe,575117
Die Spätzünder Filmreihe,658187
Die Supernasen Filmreihe,430157
Die tolle Tanten Reihe,168004
Die Trapp-Familie Filmreihe,495022
Die Vampirschwestern Collection,340803
Die Wallners Filmreihe,681726
Die Wanderhure Filmreihe,109292
Digimon Adventure tri. Collection,357402
Digimon Collection,39244
Dinotopia Collection,145748
Dirty Dancing Collection,86058
Dirty Harry Collection,10456
Dirty Pair Collection,194988
Disney Buddies Collection,91657
District 13 Collection,85946
Divadlo Járy Cimrmana (kolekce),134221
Divergent Collection,283579
Django Collection,386818
Do panského stavu (kolekce),724137
Doc McStuffins,371520
Doc West Collection,417737
Doctor Strange Collection,618529
Doctor Who Collection,275873
Doctor X Collection,607355
Doktor Murkes Filmreihe,559403
Doktor Proktor Filmreihe,501769
Dolemite Collection,405256
Dolphin Tale Collection,288491
Don Camillo Collection,11582
Don Collection,44724
Don Quixote (G.W. Pabst),711295
Don't Breathe Collection,748919
Don't Fuck in the Woods Collection,750050
Don't Go Breaking My Heart Collection,397341
Doom Collection,634390
Doraemon Collection,148065
Dorm Daze Collection,201778
Double Tap trilogy,716896
Dovolená s Andělem (kolekce),494983
Down to Earth,694330
Dr Goldfoot Collection,427956
Dr. Dolittle Collection,3169
Dr. Karl Sternau Collection,362696
Dr. Kildare Collection,721733
Dr. Mabuse Collection,11140
Dr. Phibes Collection,116847
Dr. Quinn Medicine Woman Collection,522626
Dr. Slump,379010
Dracula (Hammer) Collection,123724
Dracula (Universal) Collection,221539
Dracula 2000 Collection,115822
Dragon Ball Collection,386410
Dragon Ball Super Collection,620873
Dragon Ball Z Movies Collection,425164
Dragon Inn,701644
Dragon Loaded Collection,329553
Dragon Nest Collection,464125
Dragon Quest: Dai no Daibouken Collection,587194
DragonHeart Collection,169452
Dragons Collection,98874
Draper Tours Collection,708155
Dream a Little Dream Collection,351230
Drei Schwedinnen Filmreihe,545785
Drei teuflisch starke Frauen Filmreihe,525094
Dreileben,165131
Drunken Master Collection,12203
Ducobu Collection,148603
Dudu Collection,146863
Düğün Dernek Collection,466388
Dumb and Dumber Collection,96665
Dummie the Mummy Collection,508766
Dune Collection,726871
Dungeons & Dragons Collection,106498
Dust,204501
Dynamic Pro Super Robot Collection,211958
Earthed Collection,181403
East is East Collection,159616
East Side Kids Collection,415799
Easy Money Collection,154002
Eating Out,129453
Eberhofer-Krimi Collection,736750
Eccezzziunale... veramente Collections,444275
Echte Wiener Filmreihe,470622
Eddie and the Cruisers Collection,186102
Ein Fall für den Fuchs,290421
Ein Fall für Dr. Abel Collection,702062
Ein Reihenhaus ... Filmreihe,399503
Ein Sommer in... Filmreihe,135975
Eine fast perfekte... Trilogie,751810
Einfach Rosa - Filmreihe,496771
El Bosque Animado,518467
El Chanfle Collection,571401
El crack - Colección,637217
El Lute Collection,320059
El paseo - Colección,749828
El pico - Colección,320064
El sexo me da risa - Colección,701873
Election Collection,159613
Elektra Luxx Collection,86668
"Eleven Days, Eleven Nights Collection",720067
Elias the Little Rescue Boat Collection,490650
Elite Squad Collection,119581
Elizabeth Collection,100286
Ella Schön Collection,727026
Ellery Queen Collection,395086
Elling Collection,12075
Eltern allein zu Haus Filmreihe,731554
Elvira Collection,182617
Elvis The Great Performances - Saga,590229
Emil i Lönneberga,187089
Emilie Richards Collection,135883
Emma Fielding Mystery Collection,531963
Emma nach Mitternacht,399923
Emmanuelle,661152
Emmanuelle (TV Film) Collection,345202
Emmanuelle 2000 Collection,345865
Emmanuelle In Space Collection,88345
Emmanuelle Through Time Collection,629837
Emperor Meiji Collection,633759
En Ré,654135
Enchanted Collection,531799
Engel der Gerechtigkeit Filmreihe,656339
Enteng Kabisote Collection,527958
Enter the Ninja Collection,373538
Epoch Collection,397382
Er Monnezza - Collezione,706479
Erkan & Stefan Collection,1617
Ernest Collection,330555
Erotic Ghost Story Collection,363066
Erotic Witch Project Collection,596978
Escape From ... Collection,115838
Escape Plan Collection,525891
Essex Boys,557690
Estrella Damm - Cortos,697406
Etta Place Collection,623977
Evangelion Collection,96850
Evil Bong Collection,467577
Evil Dead Collection,1960
Ex Collection,362554
Excessive Force Collection,397854
"Exhibition : ""Laputa, the Castle in the Sky, and the Science Fiction Machines""",708862
Exit Collection,751812
Extraction Collection,735127
Eye of the Dolphin Collection,264914
"F*ck You, Goethe Collection",344555
F/X Collection,171439
Faces of Death Collection,97237
Fairly Odd Collection,721375
Fairy Tail Movie Collection,524143
Fallen,728953
Familie  Bundschuh Filmreihe,621865
Familie Buchholz Filmreihe,553806
Familien Gyldenkål Collection,102114
Familien Jul (Samling),655915
"Family Guy Trilogy: Laugh It Up, Fuzzball!",701402
Family of Cops Collection,437795
Famous Five Collection,255206
Fanny Brice Collection,449750
Fanny und ...,399742
Fantasia Collection,55427
Fantasm Collection,406487
Fantastic Beasts Collection,435259
Fantastic Four Collection,9744
Fantastic Journey To Oz,518594
Fanthagirò Collection,173738
Fantomas Collection,103001
Fantozzi Collection,41658
Fast Getaway Collection,257378
Fatakesto Collection,714173
Fatal Fury Collection,207415
Fate/stay night: Heaven's Feel Collection,390636
Father and Guns Collection,417481
Father of Four Collection,256548
Father of the Bride (Original),511021
Father of the Bride Collection,96871
Father O'Malley Collection,556928
Fear Collection,439409
Fearless Hyena Collection,205459
Feast Collection,98430
Felix the Rabbit Collection,269616
Feluda Collection,245198
Female Ninjas Magic Chronicles Collection,360774
Female Prisoner Scorpion,103190
FernGully Collection,19160
Fifty Shades Collection,344830
Fight Back to School Collection,192175
Final Destination Collection,8864
Final Fantasy VII Collection,140760
Finding Mr. Right Collection,584364
Finding Nemo Collection,137697
Fireman Sam Collection,583236
Fist of Fury 1991 Collection,397504
Fist of Fury Collection,479953
Fist of the North Star Digest Collection,670241
Fist of the North Star: The Legends of the True Savior,114374
Five Little Peppers,369969
Flatfoot Collection,10964
Flatland Collection,425435
Flesh Gordon Collection,314917
Fletch Collection,104833
Flicka Collection,507481
Flodder Collection,74083
Flower and Snake (Remake) Collection,153629
Flower and Snake Collection,153636
Flower Shop Mystery Collection,401119
Flowers in the Attic Collection,293981
Flubber Collection,294468
Flying Guillotine Collection,380170
Fontaine Khaled Collection,412300
Footsoldier Collection,286177
Force Collection,429409
Fortress Collection,86341
Fracchia Collection,704004
Francesco,530016
Francis the Talking Mule Collection,693136
Frank James Collection,493022
Frankenstein (Hammer) Collection,123720
Frankenstein (Toho) Collection,491768
Frankenstein (Universal) Collection,218406
Franklin - Collection,711149
Frau Wirtin Filmreihe,550183
Freche Mädchen Filmreihe,326795
Fred Collection,433061
Free and Easy Collection,411744
Free Willy Collection,9328
Free!,693769
Freeway Collection,355490
Freier Fall Collection,716052
French Connection Collection,155474
French Fried Vacation,52835
Friday Collection,43563
Friday the 13th Collection,9735
Friend Collection,281881
Friends Collection,321647
Fright Night (Reboot) Collection,230161
Fright Night Collection,98168
Fritz the Cat Collection,476056
Frog Collection,495389
Fröhliche Weihnachten Filmreihe,313754
From Dusk Till Dawn Collection,10924
From Vegas to Macau Collection,333075
Front Collection,269411
Frosty the Snowman Collection,363015
Frozen Collection,386382
Frühling-Filmreihe,465364
Fu Manchu (Christopher Lee) Collection,98462
Fu Manchu (Warner Oland) Collection,413930
Fuga de cerebros - Collection,141448
Full Out,696476
Fullmetal Alchemist Collection,140612
Futurama Collection,13800
G.I. Joe (Live-Action) Collection,135468
G.I. Joe (Reel FX) Collection,135467
G.I. Joe Collection,506229
Gabino Barrera Collection,598003
Gabriel's Inferno Collection,729322
Galaxy Express 999 Collection,195646
Gall Force Collection,472943
Gamera (Heisei) Collection,657313
Gamera (Showa) Collection,161766
Gamma One Collection,413946
Gang of Roses Collection,458419
Gangs of Wasseypur Collection,244500
Gangster Ka (kolekce),380042
Gantz Collection,99321
Garage Sale Mystery Collection,353792
Garfield CGI Collection,373918
Garfield Collection,86115
Gasland Collection,225543
Gator Bait Collection,753142
Gator Collection,289531
Generation Iron Collection,522231
Gentle Ben,737092
George Carlin Comedy Collection,479319
George of the Jungle Collection,126221
Get Smart Collection,108669
Ghibli Forest Movies,709474
Ghost in the Shell (Animated) Collection,23026
Ghost In The Shell: Arise Collection,196753
Ghost in the Shell: Stand Alone Complex Collection,443996
Ghost Rider Collection,90306
Ghostbusters Collection,2980
Ghoulies Collection,44913
Gilbert & Sullivan Brent Walker Collection,176547
Gincho Wataridori,472583
Ginger Snaps Collection,11794
GinRei special OVA,407945
Gintama Movie Collection,551277
Gırgıriye Serisi,663473
Girl Boss,119233
Girlfriends' Getaway Collection,705758
Girls & Panzer Collection,610041
Girls at Arms,312774
Girl's on Top Collection,165679
Girls Without Tomorrow Collection,694045
Gnomeo & Juliet Collection,493668
Go Lala Go Collection,584400
Go Trabi Go Collection,237897
Goal! Collection,110177
God Mars Collection,361948
God of Gamblers Collection,170416
God's Not Dead Collection,409343
Godzilla (Heisei) Collection,374511
Godzilla (Millennium) Collection,374512
Godzilla (Reiwa) Collection,691555
Godzilla (Showa) Collection,374509
Godzilla Anime Trilogy,535790
Godzilla Collection,535313
Godzilla The Real 4-D Collection,691554
Goku Midnight Eye Collection,452589
Golden Chicken Collection,336485
Golden Swallow Collection,658794
Golden Winter Collection,484270
Golgo 13 Collection,446015
Golmaal Collection,483464
Gomez & Tavarès Collection,181478
Gone in 60 Seconds Trilogy,391040
Gonin Collection,473943
Good Take Collection,410925
Goodnight for Justice Collection,328755
Gooische Vrouwen Collection,482468
Goon Collection,476961
Goopy Bagha Trilogy,206786
Goosebumps Collection,508783
Gor Collection,205145
Göta kanal collection,169329
Gourmet Detective Collection,364342
Graf Bobby Collection,162268
Grave Encounters Collection,135466
Grease Collection,86083
Greatest Heroes and Legends of The Bible,268500
Greek Tragedy Trilogy,715427
Green Street Hooligans Collection,152544
Gregory's Girl Collection,648242
Grey Gardens Collection,448468
Grijpstra & de Gier Collection,180784
Grizzly Collection,528034
Grown Ups Collection,180546
Grumpy Old Men Collection,119050
Guardians of the Galaxy Collection,284433
Guinea Pig Collection,476063
Gumball 3000 Collection,163798
Gun Crazy Series,314976
Gunsmoke Movie Collection,492492
Gwendolyn Shepherd Collection,304025
Hades Project: Zeorymer,34709
Haikyu!! - Movie Collection,540583
Hajime no Ippo Collection,752966
Hakuoki - Demon of the Fleeting Blossom,461067
Half Past Dead Collection,43063
Halloween (Rob Zombie Series) Collection,126209
Halloween Collection,91361
Halloweentown Collection,87252
Halo Collection,606301
Hamilton Collection,108043
